resolution,rate,aspect,duration
720x480,29.97,4:3,10
720x480,29.97,16:9,10
720x486,29.97,4:3,10
720x486,29.97,16:9,10
720x480,23.98,4:3,10
720x480,23.98,16:9,10
720x486,23.98,4:3,10
720x486,23.98,16:9,10
720x576,25,4:3,10
720x576,25,16:9,10
1280x720,23.98,16:9,10
1280x720,24,16:9,10
1280x720,25,16:9,10
1280x720,29.97,16:9,10
1280x720,30,16:9,10
1280x720,50,16:9,10
1280x720,60,16:9,10
1920x1080,23.98,16:9,10
1920x1080,24,16:9,10
1920x1080,25,16:9,10
1920x1080,29.97,16:9,10
1920x1080,30,16:9,10
1920x1080,50,16:9,10
1920x1080,60,16:9,10
